"Cocktail Name","Bartender","Bar/Company","City"
"#106 Cocktail","Chelsea Little","Olive Oak","St. Louis"
"“Prepare for Destiny! Where’s my Pizza?”","Paul Taylor","Cherry Blossom PUB","Washington DC"
"10 to 7","Gabriele Modica","Farina","San Francisco"
"A Bloody Shame","Brian Means","Dirty Habit","San Francisco"
"A Botanical Garden","Danny Louie","Alembic","San Francisco"
"A Regal Air ","Amy Lewis ","One Sixty Blue","Chicago, Ill"
"A Southern Jackass","Julian Miller","Partender","San Francisco"
"A Tall Tell","Brian Means","Dirty Habit","San Francisco"
"A.Nise","Kate KaiKaew","Osha","San Francisco"
"Above My Pay Grade","Brian Means","Dirty Habit","San Francisco"
"Amaretto Jello Shot, Why Not","Monica Anderson","Republic Street Bar","Fort Worth"
"Amaretto Sour BV-Style","Scott Baird","The Bon Vivants","San Francisco"
"An Oaxacan Christmas","Brandon Bigalke","Wingtip","San Francisco"
"Apples Grapes","Matt Grippo","Blackbird","San Francisco"
"Baile de Verano","Tyler Chauvin","Treo","New Orleans"
"Bakko Zengo","Nick Jones","Pabu","San Francisco"
"Barrel Aged Ginger Negroni","Nusan Brounstein","Fog Harbor Fish House","San Francisco"
"Basilway Daquiri","Sam Treadway","Backbar","Somerville"
"Bianco Americano","Matt Grippo","Blackbird","San Francisco"
"Bird On","Kelly O'Hare","Small Victory","Austin"
"Bird to Buck","Tiki Dave ","The Usual","Fort Worth"
"Boko Buku","Tyler Chauvin","Treo","New Orleans"
"Boomin' Granny","Jillian Vose","Death Co.","New York"
"Brisa del Sur","Johel Huaman Barbosa  Christian Hurtado","NEAT","Westport"
"Buenaventura","Matt Solario","Stookey's Club Moderne","San Francisco"
"Buster Crusta","Ryan Fitzgerald","ABV","San Francisco"
"Canary vs. the Coal Mine","Brian Means","Dirty Habit","San Francisco"
"Cap't of the Seven Seas","Tyler Chauvin","Treo","New Orleans"
"Champs Élysées","Rafael Jimenez Rivera","Urchin Bistrot","San Francisco"
"Chapman Cobbler","Caitlin Laman","Trick Dog","San Francisco"
"Charente Royale","Kevin Diedrich","Turnkey","San Francisco"
"Cherry Bark Martinez","Josh Trabulsi","Burritt Tavern","San Francisco"
"Cherry Orchard","Del Prado","Tooker Alley","New York"
"Chilcano (variation)","Marvin Allen","Hotel Monteleone","New Orleans"
"Chingerito","Johel Huaman Barbosa Christian Hurtado","NEAT","Westport"
"Classic Lolita","Nick Jones","Pabu","San Francisco"
"Cocao Martini ","Zachary Brian Taylor","Ziryab","San Francisco"
"Cock-tail","Keli Rivers","The Devil's Acre","San Francisco"
"Coffee Clove","Anthony Parks","Mourad","San Francisco"
"Conference","Brian Miller","Death Co.","New York"
"Cove","Takumi  Watanabe","The Sailing Bar","Japan"
"Creek Ran Dry","Brian Means","Dirty Habit","San Francisco"
"Creole","Kevin Diedrich","BDK Restaurant Bar","San Francisco"
"Croatia Firing Squad","Ken Luciano","The Forgery","San Francisco"
